environment_steps,updates,episode_returns_mean,entropy_mean,loss_mean,actor_loss_mean,value_loss_mean,reward_std_mean,deliveries_mean,block_rate_mean,idle_rate_mean,pickup_rate_mean,deliveries_early_mean,deliveries_mid_mean,deliveries_late_mean,block_early_mean,block_mid_mean,block_late_mean
16925000,3385,2.5,0.09518551081418991,14.891667366027832,-0.6978908181190491,31.17911720275879,0.020627757534384727,2.5,0.2305999994277954,0.0,0.07234999537467957,2.299999952316284,0.10000000149011612,0.10000000149011612,0.1859939843416214,0.25030121207237244,0.2552083432674408
16930000,3386,2.6000001430511475,0.10723361372947693,16.726123809814453,0.7061319351196289,32.039981842041016,0.022478798404335976,2.6000001430511475,0.26100000739097595,0.0,0.07604999840259552,2.5,0.10000000149011612,0.0,0.19036145508289337,0.3170180916786194,0.27544644474983215
16935000,3387,2.9000000953674316,0.1430494785308838,17.711633682250977,-0.3487621545791626,36.120792388916016,0.0281232837587595,2.9000000953674316,0.10414999723434448,0.0,0.1075499951839447,2.700000047683716,0.20000000298023224,0.0,0.0906626507639885,0.09518072754144669,0.12633928656578064
16940000,3388,2.700000047683716,0.13158470392227173,17.462738037109375,-0.8734313249588013,36.672340393066406,0.024456683546304703,2.700000047683716,0.2206999957561493,0.0,0.07289999723434448,2.0,0.4000000059604645,0.30000001192092896,0.18795181810855865,0.2507530152797699,0.22336310148239136
16945000,3389,3.1000001430511475,0.12134093791246414,18.998851776123047,0.9461221694946289,36.10546112060547,0.03199999779462814,3.1000001430511475,0.16704998910427094,0.0,0.03374999761581421,2.799999952316284,0.30000001192092896,0.0,0.14954820275306702,0.1927710920572281,0.15892857313156128
16950000,3390,3.200000047683716,0.11344622820615768,17.93331527709961,-0.9331468343734741,37.73292541503906,0.0339389406144619,3.200000047683716,0.23600000143051147,9.999999747378752e-05,0.0284000001847744,2.700000047683716,0.30000001192092896,0.20000000298023224,0.19924698770046234,0.23930723965168,0.2690476179122925
16955000,3391,3.0,0.10564052313566208,21.01266860961914,0.10262943059206009,41.8200798034668,0.030397890135645866,3.0,0.20684999227523804,0.0,0.060099996626377106,2.700000047683716,0.30000001192092896,0.0,0.17499999701976776,0.22123494744300842,0.22410714626312256
16960000,3392,2.9000000953674316,0.12390722334384918,19.654085159301758,0.38193410634994507,38.54430389404297,0.027977293357253075,2.9000000953674316,0.1829499900341034,0.0,0.09364999830722809,2.799999952316284,0.0,0.10000000149011612,0.1638554185628891,0.18388554453849792,0.2008928656578064
16965000,3393,3.1000001430511475,0.10811176151037216,19.557424545288086,-0.4290623962879181,39.97297286987305,0.03187354654073715,3.1000001430511475,0.2272999882698059,0.0,0.04769999906420708,2.799999952316284,0.30000001192092896,0.0,0.22665663063526154,0.22289156913757324,0.23229166865348816
16970000,3394,2.9000000953674316,0.09937803447246552,17.50029754638672,-0.194030299782753,35.38865661621094,0.028241610154509544,2.9000000953674316,0.25939998030662537,4.999999873689376e-05,0.03399999812245369,2.799999952316284,0.10000000149011612,0.0,0.2012048214673996,0.27003014087677,0.30639880895614624
16975000,3395,3.1000001430511475,0.10076741129159927,17.973237991333008,-0.001162402331829071,35.94879913330078,0.031803131103515625,3.1000001430511475,0.17659999430179596,0.0,0.059049997478723526,2.9000000953674316,0.20000000298023224,0.0,0.14698795974254608,0.193674698472023,0.1889881044626236
16980000,3396,2.700000047683716,0.09918812662363052,16.344175338745117,-0.11108045279979706,32.9105110168457,0.023995494470000267,2.700000047683716,0.14649999141693115,0.0,0.1197500005364418,2.6000001430511475,0.10000000149011612,0.0,0.12635542452335358,0.16475903987884521,0.14836309850215912
