E0612 19:16:11.398704    2695 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0612 19:16:11.415257    2653 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=mappo (centralised_critic=True, use_ppo=True, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=10000  (steps/update=5000)  seed=2
run-dir=runs/mappo_evo_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 0] return 0.00  deliveries 0  -> runs/mappo_evo_tiny-4ag_seed2/replays/replay_upd000000_s0.npz
  upd  105 | return    0.200 | deliv   0.20 | blocked 60.8% | idle  0.2% | ent 0.509
  upd  106 | return    0.000 | deliv   0.00 | blocked 57.4% | idle  0.3% | ent 0.506
  upd  107 | return    0.300 | deliv   0.30 | blocked 63.2% | idle  0.2% | ent 0.494
  upd  108 | return    0.300 | deliv   0.30 | blocked 60.4% | idle  0.3% | ent 0.566
  upd  109 | return    0.100 | deliv   0.10 | blocked 53.6% | idle  0.3% | ent 0.553
  upd  110 | return    0.100 | deliv   0.10 | blocked 56.5% | idle  0.3% | ent 0.554
  upd  111 | return    0.200 | deliv   0.20 | blocked 56.2% | idle  0.2% | ent 0.612
  upd  112 | return    0.200 | deliv   0.20 | blocked 45.9% | idle  0.3% | ent 0.717
  upd  113 | return    0.100 | deliv   0.10 | blocked 40.1% | idle  0.4% | ent 0.725
  upd  114 | return    0.000 | deliv   0.00 | blocked 39.6% | idle  0.4% | ent 0.739
  upd  115 | return    0.200 | deliv   0.20 | blocked 41.8% | idle  0.3% | ent 0.735
  upd  116 | return    0.200 | deliv   0.20 | blocked 42.0% | idle  0.3% | ent 0.680
  upd  117 | return    0.300 | deliv   0.30 | blocked 47.6% | idle  0.3% | ent 0.715
  upd  118 | return    0.300 | deliv   0.30 | blocked 42.1% | idle  0.3% | ent 0.703
  upd  119 | return    0.100 | deliv   0.10 | blocked 42.5% | idle  0.3% | ent 0.737
  upd  120 | return    0.000 | deliv   0.00 | blocked 35.6% | idle  0.3% | ent 0.774
  upd  121 | return    0.000 | deliv   0.00 | blocked 30.4% | idle  0.3% | ent 0.791
  upd  122 | return    0.000 | deliv   0.00 | blocked 28.8% | idle  0.3% | ent 0.799
  upd  123 | return    0.300 | deliv   0.30 | blocked 22.5% | idle  0.4% | ent 0.799
  upd  124 | return    0.200 | deliv   0.20 | blocked 24.8% | idle  0.4% | ent 0.774
  upd  125 | return    0.100 | deliv   0.10 | blocked 38.5% | idle  0.3% | ent 0.745
  upd  126 | return    0.100 | deliv   0.10 | blocked 41.9% | idle  0.2% | ent 0.741
  upd  127 | return    0.000 | deliv   0.00 | blocked 41.8% | idle  0.2% | ent 0.681
  upd  128 | return    0.000 | deliv   0.00 | blocked 50.3% | idle  0.2% | ent 0.626
  upd  129 | return    0.000 | deliv   0.00 | blocked 57.0% | idle  0.2% | ent 0.582
  upd  130 | return    0.000 | deliv   0.00 | blocked 57.6% | idle  0.2% | ent 0.574
  upd  131 | return    0.100 | deliv   0.10 | blocked 53.2% | idle  0.2% | ent 0.614
  upd  132 | return    0.000 | deliv   0.00 | blocked 54.1% | idle  0.1% | ent 0.590
  upd  133 | return    0.000 | deliv   0.00 | blocked 56.3% | idle  0.2% | ent 0.609
  upd  134 | return    0.000 | deliv   0.00 | blocked 55.7% | idle  0.2% | ent 0.620
  upd  135 | return    0.000 | deliv   0.00 | blocked 54.1% | idle  0.2% | ent 0.629
  upd  136 | return    0.000 | deliv   0.00 | blocked 52.3% | idle  0.2% | ent 0.661
  upd  137 | return    0.000 | deliv   0.00 | blocked 46.6% | idle  0.3% | ent 0.702
  upd  138 | return    0.200 | deliv   0.20 | blocked 44.4% | idle  0.2% | ent 0.731
  upd  139 | return    0.100 | deliv   0.10 | blocked 41.8% | idle  0.3% | ent 0.732
  upd  140 | return    0.000 | deliv   0.00 | blocked 40.7% | idle  0.3% | ent 0.790
  upd  141 | return    0.000 | deliv   0.00 | blocked 36.5% | idle  0.4% | ent 0.821
  upd  142 | return    0.100 | deliv   0.10 | blocked 34.9% | idle  0.5% | ent 0.835
  upd  143 | return    0.100 | deliv   0.10 | blocked 29.2% | idle  0.5% | ent 0.810
