E0603 10:12:55.239575    1230 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 10:12:55.252190    1187 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=seac (per-agent A2C, seac_coef=0.0, use_rnn=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=1000  (steps/update=5000)  seed=2
run-dir=runs/seac_fc_lam0_seed2  chunk=100 updates/save
  upd  105 | return    0.200 | deliv   0.20 | blocked 34.7% | idle  5.7% | ent 0.789
  upd  106 | return    0.100 | deliv   0.10 | blocked 33.5% | idle  5.9% | ent 0.826
  upd  107 | return    0.200 | deliv   0.20 | blocked 33.5% | idle  6.5% | ent 0.827
  upd  108 | return    0.000 | deliv   0.00 | blocked 29.5% | idle  6.4% | ent 0.856
  upd  109 | return    0.200 | deliv   0.20 | blocked 34.3% | idle  6.2% | ent 0.833
  upd  110 | return    0.300 | deliv   0.30 | blocked 31.5% | idle  6.2% | ent 0.829
  upd  111 | return    0.200 | deliv   0.20 | blocked 30.9% | idle  6.7% | ent 0.860
  upd  112 | return    0.100 | deliv   0.10 | blocked 27.9% | idle  6.9% | ent 0.881
  upd  113 | return    0.200 | deliv   0.20 | blocked 26.6% | idle  6.8% | ent 0.893
  upd  114 | return    0.100 | deliv   0.10 | blocked 24.9% | idle  6.8% | ent 0.924
  upd  115 | return    0.200 | deliv   0.20 | blocked 24.6% | idle  7.4% | ent 0.932
  upd  116 | return    0.400 | deliv   0.40 | blocked 22.9% | idle  7.1% | ent 0.949
  upd  117 | return    0.200 | deliv   0.20 | blocked 21.4% | idle  7.2% | ent 0.970
  upd  118 | return    0.300 | deliv   0.30 | blocked 20.7% | idle  7.9% | ent 0.998
  upd  119 | return    0.100 | deliv   0.10 | blocked 20.4% | idle  8.0% | ent 1.021
  upd  120 | return    0.300 | deliv   0.30 | blocked 21.3% | idle  8.2% | ent 0.997
  upd  121 | return    0.300 | deliv   0.30 | blocked 21.5% | idle  7.2% | ent 0.985
  upd  122 | return    0.300 | deliv   0.30 | blocked 20.9% | idle  7.7% | ent 1.012
  upd  123 | return    0.000 | deliv   0.00 | blocked 20.3% | idle  7.4% | ent 1.012
  upd  124 | return    0.000 | deliv   0.00 | blocked 21.3% | idle  6.8% | ent 0.991
  upd  125 | return    0.200 | deliv   0.20 | blocked 22.1% | idle  7.3% | ent 1.000
