E0612 22:33:23.491862   13141 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0612 22:33:23.508828   13099 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=ippo (centralised_critic=False, use_ppo=True, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/ippo_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 0] return 0.00  deliveries 0  -> runs/ippo_tiny-4ag_seed2/replays/replay_upd000000_s0.npz
  upd   92 | return    0.000 | deliv   0.00 | blocked 78.8% | idle  0.5% | ent 0.497
  upd   93 | return    0.100 | deliv   0.10 | blocked 77.6% | idle  0.5% | ent 0.584
  upd   94 | return    0.000 | deliv   0.00 | blocked 77.0% | idle  0.6% | ent 0.492
  upd   95 | return    0.000 | deliv   0.00 | blocked 80.4% | idle  0.5% | ent 0.474
  upd   96 | return    0.000 | deliv   0.00 | blocked 79.7% | idle  0.5% | ent 0.468
  upd   97 | return    0.000 | deliv   0.00 | blocked 78.5% | idle  0.4% | ent 0.480
  upd   98 | return    0.000 | deliv   0.00 | blocked 77.9% | idle  0.5% | ent 0.557
  upd   99 | return    0.000 | deliv   0.00 | blocked 76.0% | idle  0.6% | ent 0.598
  [replay @ update 100] return 0.00  deliveries 0  -> runs/ippo_tiny-4ag_seed2/replays/replay_upd000100_s0.npz
  upd  100 | return    0.100 | deliv   0.10 | blocked 69.5% | idle  0.8% | ent 0.690
  upd  101 | return    0.000 | deliv   0.00 | blocked 64.4% | idle  1.1% | ent 0.672
  upd  102 | return    0.100 | deliv   0.10 | blocked 69.9% | idle  0.9% | ent 0.511
  upd  103 | return    0.000 | deliv   0.00 | blocked 79.8% | idle  0.8% | ent 0.485
  upd  104 | return    0.000 | deliv   0.00 | blocked 80.0% | idle  0.8% | ent 0.539
  upd  105 | return    0.000 | deliv   0.00 | blocked 77.5% | idle  0.9% | ent 0.527
  upd  106 | return    0.000 | deliv   0.00 | blocked 78.2% | idle  0.9% | ent 0.538
  upd  107 | return    0.000 | deliv   0.00 | blocked 76.5% | idle  0.8% | ent 0.576
  upd  108 | return    0.000 | deliv   0.00 | blocked 74.1% | idle  1.0% | ent 0.613
  upd  109 | return    0.000 | deliv   0.00 | blocked 72.6% | idle  1.1% | ent 0.618
  upd  110 | return    0.100 | deliv   0.10 | blocked 71.7% | idle  1.2% | ent 0.671
  upd  111 | return    0.000 | deliv   0.00 | blocked 66.7% | idle  1.5% | ent 0.686
  upd  112 | return    0.000 | deliv   0.00 | blocked 68.3% | idle  1.6% | ent 0.660
  upd  113 | return    0.000 | deliv   0.00 | blocked 67.9% | idle  1.8% | ent 0.711
  upd  114 | return    0.000 | deliv   0.00 | blocked 68.3% | idle  2.2% | ent 0.728
  upd  115 | return    0.000 | deliv   0.00 | blocked 68.6% | idle  2.8% | ent 0.697
  upd  116 | return    0.100 | deliv   0.10 | blocked 70.1% | idle  3.1% | ent 0.733
  upd  117 | return    0.000 | deliv   0.00 | blocked 69.6% | idle  3.1% | ent 0.668
  upd  118 | return    0.000 | deliv   0.00 | blocked 73.8% | idle  2.5% | ent 0.599
  upd  119 | return    0.000 | deliv   0.00 | blocked 75.9% | idle  2.3% | ent 0.591
  upd  120 | return    0.000 | deliv   0.00 | blocked 76.9% | idle  2.4% | ent 0.581
  upd  121 | return    0.000 | deliv   0.00 | blocked 78.2% | idle  2.2% | ent 0.574
  upd  122 | return    0.000 | deliv   0.00 | blocked 75.0% | idle  2.2% | ent 0.611
  upd  123 | return    0.000 | deliv   0.00 | blocked 73.7% | idle  2.5% | ent 0.670
  upd  124 | return    0.000 | deliv   0.00 | blocked 72.5% | idle  2.9% | ent 0.708
  upd  125 | return    0.000 | deliv   0.00 | blocked 69.4% | idle  3.3% | ent 0.767
