E0614 08:40:09.906223    1929 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0614 08:40:09.932381    1887 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=ia2c (centralised_critic=False, use_ppo=False, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=0
run-dir=runs/ia2c_tiny-4ag_seed0  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  upd   99 | return    0.200 | deliv   0.20 | blocked 13.9% | idle 18.2% | ent 1.229
  upd  100 | return    0.000 | deliv   0.00 | blocked 12.6% | idle 18.6% | ent 1.270
  upd  101 | return    0.000 | deliv   0.00 | blocked 11.4% | idle 18.8% | ent 1.269
  upd  102 | return    0.200 | deliv   0.20 | blocked 11.2% | idle 18.2% | ent 1.258
  upd  103 | return    0.000 | deliv   0.00 | blocked 11.1% | idle 18.8% | ent 1.278
  upd  104 | return    0.000 | deliv   0.00 | blocked 10.1% | idle 19.2% | ent 1.286
  upd  105 | return    0.100 | deliv   0.10 | blocked 10.3% | idle 19.1% | ent 1.260
  upd  106 | return    0.000 | deliv   0.00 | blocked 10.3% | idle 19.3% | ent 1.287
  upd  107 | return    0.000 | deliv   0.00 | blocked 10.7% | idle 19.8% | ent 1.271
  upd  108 | return    0.100 | deliv   0.10 | blocked 10.8% | idle 19.7% | ent 1.284
  upd  109 | return    0.100 | deliv   0.10 | blocked 10.8% | idle 19.9% | ent 1.285
  upd  110 | return    0.000 | deliv   0.00 | blocked 11.3% | idle 20.4% | ent 1.273
  upd  111 | return    0.000 | deliv   0.00 | blocked 10.9% | idle 21.2% | ent 1.279
  upd  112 | return    0.000 | deliv   0.00 | blocked 11.4% | idle 20.9% | ent 1.256
  upd  113 | return    0.000 | deliv   0.00 | blocked 11.9% | idle 21.5% | ent 1.284
  upd  114 | return    0.100 | deliv   0.10 | blocked 10.8% | idle 21.2% | ent 1.276
  upd  115 | return    0.000 | deliv   0.00 | blocked 10.8% | idle 22.1% | ent 1.294
  upd  116 | return    0.000 | deliv   0.00 | blocked 11.4% | idle 22.4% | ent 1.287
  upd  117 | return    0.000 | deliv   0.00 | blocked 12.0% | idle 22.5% | ent 1.272
  upd  118 | return    0.000 | deliv   0.00 | blocked 10.4% | idle 22.4% | ent 1.286
  upd  119 | return    0.000 | deliv   0.00 | blocked 11.7% | idle 22.8% | ent 1.282
  upd  120 | return    0.000 | deliv   0.00 | blocked 14.4% | idle 21.9% | ent 1.275
  upd  121 | return    0.000 | deliv   0.00 | blocked 12.7% | idle 22.3% | ent 1.288
  upd  122 | return    0.000 | deliv   0.00 | blocked 12.6% | idle 22.5% | ent 1.283
  upd  123 | return    0.000 | deliv   0.00 | blocked 13.3% | idle 22.0% | ent 1.285
  upd  124 | return    0.000 | deliv   0.00 | blocked 12.9% | idle 22.4% | ent 1.294
  upd  125 | return    0.000 | deliv   0.00 | blocked 13.2% | idle 22.9% | ent 1.285
  upd  126 | return    0.000 | deliv   0.00 | blocked 13.2% | idle 22.6% | ent 1.286
  upd  127 | return    0.000 | deliv   0.00 | blocked 12.7% | idle 21.9% | ent 1.297
  upd  128 | return    0.000 | deliv   0.00 | blocked 12.7% | idle 23.6% | ent 1.317
  upd  129 | return    0.000 | deliv   0.00 | blocked 14.8% | idle 21.8% | ent 1.260
  upd  130 | return    0.000 | deliv   0.00 | blocked 13.4% | idle 22.9% | ent 1.316
  upd  131 | return    0.000 | deliv   0.00 | blocked 13.3% | idle 22.2% | ent 1.309
  upd  132 | return    0.000 | deliv   0.00 | blocked 12.9% | idle 22.3% | ent 1.311
  upd  133 | return    0.000 | deliv   0.00 | blocked 13.8% | idle 22.8% | ent 1.319
  upd  134 | return    0.000 | deliv   0.00 | blocked 14.9% | idle 22.7% | ent 1.286
  upd  135 | return    0.000 | deliv   0.00 | blocked 14.7% | idle 21.7% | ent 1.297
  upd  136 | return    0.000 | deliv   0.00 | blocked 14.0% | idle 22.7% | ent 1.285
  upd  137 | return    0.000 | deliv   0.00 | blocked 14.5% | idle 22.6% | ent 1.306
  upd  138 | return    0.000 | deliv   0.00 | blocked 12.5% | idle 23.6% | ent 1.328
  upd  139 | return    0.000 | deliv   0.00 | blocked 14.0% | idle 23.1% | ent 1.315
  upd  140 | return    0.000 | deliv   0.00 | blocked 12.9% | idle 23.9% | ent 1.327
  upd  141 | return    0.000 | deliv   0.00 | blocked 13.0% | idle 23.7% | ent 1.330
  upd  142 | return    0.000 | deliv   0.00 | blocked 13.1% | idle 24.5% | ent 1.322
  upd  143 | return    0.000 | deliv   0.00 | blocked 13.1% | idle 25.1% | ent 1.322
  upd  144 | return    0.000 | deliv   0.00 | blocked 12.5% | idle 23.9% | ent 1.331
  upd  145 | return    0.100 | deliv   0.10 | blocked 14.5% | idle 24.6% | ent 1.289
  upd  146 | return    0.000 | deliv   0.00 | blocked 14.6% | idle 24.6% | ent 1.306
  upd  147 | return    0.000 | deliv   0.00 | blocked 15.2% | idle 24.5% | ent 1.277
  upd  148 | return    0.000 | deliv   0.00 | blocked 13.5% | idle 25.5% | ent 1.301
  upd  149 | return    0.000 | deliv   0.00 | blocked 15.4% | idle 25.7% | ent 1.306
  upd  150 | return    0.000 | deliv   0.00 | blocked 14.4% | idle 26.4% | ent 1.331
  upd  151 | return    0.000 | deliv   0.00 | blocked 17.2% | idle 24.9% | ent 1.293
  upd  152 | return    0.000 | deliv   0.00 | blocked 14.5% | idle 26.5% | ent 1.300
  upd  153 | return    0.000 | deliv   0.00 | blocked 14.2% | idle 25.4% | ent 1.291
  upd  154 | return    0.000 | deliv   0.00 | blocked 14.9% | idle 26.3% | ent 1.293
  upd  155 | return    0.000 | deliv   0.00 | blocked 14.3% | idle 26.1% | ent 1.303
  upd  156 | return    0.000 | deliv   0.00 | blocked 14.6% | idle 25.5% | ent 1.306
  upd  157 | return    0.000 | deliv   0.00 | blocked 16.8% | idle 25.4% | ent 1.270
  upd  158 | return    0.000 | deliv   0.00 | blocked 15.1% | idle 25.3% | ent 1.292
  upd  159 | return    0.000 | deliv   0.00 | blocked 16.4% | idle 25.8% | ent 1.314
  upd  160 | return    0.000 | deliv   0.00 | blocked 16.4% | idle 25.0% | ent 1.268
  upd  161 | return    0.000 | deliv   0.00 | blocked 15.8% | idle 25.9% | ent 1.278
  upd  162 | return    0.000 | deliv   0.00 | blocked 15.8% | idle 27.2% | ent 1.302
  upd  163 | return    0.000 | deliv   0.00 | blocked 19.4% | idle 25.8% | ent 1.259
  upd  164 | return    0.000 | deliv   0.00 | blocked 18.8% | idle 26.3% | ent 1.279
  upd  165 | return    0.000 | deliv   0.00 | blocked 18.0% | idle 26.9% | ent 1.295
  upd  166 | return    0.000 | deliv   0.00 | blocked 18.9% | idle 27.2% | ent 1.284
  upd  167 | return    0.000 | deliv   0.00 | blocked 19.9% | idle 27.0% | ent 1.254
  upd  168 | return    0.000 | deliv   0.00 | blocked 18.0% | idle 27.7% | ent 1.285
  upd  169 | return    0.000 | deliv   0.00 | blocked 18.5% | idle 27.7% | ent 1.283
  upd  170 | return    0.000 | deliv   0.00 | blocked 19.2% | idle 27.3% | ent 1.275
  upd  171 | return    0.000 | deliv   0.00 | blocked 19.6% | idle 27.6% | ent 1.273
  upd  172 | return    0.000 | deliv   0.00 | blocked 19.5% | idle 27.3% | ent 1.274
  upd  173 | return    0.000 | deliv   0.00 | blocked 18.2% | idle 27.8% | ent 1.255
  upd  174 | return    0.000 | deliv   0.00 | blocked 17.5% | idle 27.7% | ent 1.274
  upd  175 | return    0.000 | deliv   0.00 | blocked 17.9% | idle 28.0% | ent 1.268
  upd  176 | return    0.000 | deliv   0.00 | blocked 18.0% | idle 27.0% | ent 1.262
  upd  177 | return    0.000 | deliv   0.00 | blocked 17.9% | idle 26.6% | ent 1.237
  upd  178 | return    0.000 | deliv   0.00 | blocked 19.2% | idle 28.5% | ent 1.260
  upd  179 | return    0.000 | deliv   0.00 | blocked 19.0% | idle 28.3% | ent 1.272
  upd  180 | return    0.000 | deliv   0.00 | blocked 18.2% | idle 28.8% | ent 1.286
  upd  181 | return    0.000 | deliv   0.00 | blocked 17.1% | idle 28.2% | ent 1.275
  upd  182 | return    0.000 | deliv   0.00 | blocked 18.3% | idle 29.3% | ent 1.265
  upd  183 | return    0.000 | deliv   0.00 | blocked 18.0% | idle 27.9% | ent 1.258
  upd  184 | return    0.000 | deliv   0.00 | blocked 16.9% | idle 28.7% | ent 1.250
  upd  185 | return    0.000 | deliv   0.00 | blocked 17.6% | idle 28.6% | ent 1.254
  upd  186 | return    0.000 | deliv   0.00 | blocked 18.2% | idle 28.7% | ent 1.262
  upd  187 | return    0.000 | deliv   0.00 | blocked 18.8% | idle 27.8% | ent 1.267
  upd  188 | return    0.000 | deliv   0.00 | blocked 21.2% | idle 26.8% | ent 1.229
  upd  189 | return    0.000 | deliv   0.00 | blocked 18.5% | idle 27.7% | ent 1.239
  upd  190 | return    0.000 | deliv   0.00 | blocked 18.4% | idle 27.0% | ent 1.273
  upd  191 | return    0.000 | deliv   0.00 | blocked 21.3% | idle 26.4% | ent 1.237
  upd  192 | return    0.100 | deliv   0.10 | blocked 19.7% | idle 25.6% | ent 1.237
  upd  193 | return    0.000 | deliv   0.00 | blocked 21.2% | idle 25.6% | ent 1.245
  upd  194 | return    0.000 | deliv   0.00 | blocked 21.0% | idle 25.8% | ent 1.233
  upd  195 | return    0.000 | deliv   0.00 | blocked 20.3% | idle 26.4% | ent 1.250
  upd  196 | return    0.000 | deliv   0.00 | blocked 21.2% | idle 25.5% | ent 1.238
  upd  197 | return    0.000 | deliv   0.00 | blocked 20.7% | idle 24.1% | ent 1.215
  upd  198 | return    0.000 | deliv   0.00 | blocked 21.2% | idle 23.4% | ent 1.208
  upd  199 | return    0.000 | deliv   0.00 | blocked 18.5% | idle 24.0% | ent 1.217
  upd  200 | return    0.000 | deliv   0.00 | blocked 19.1% | idle 24.2% | ent 1.232
  upd  201 | return    0.000 | deliv   0.00 | blocked 20.3% | idle 23.1% | ent 1.185
  upd  202 | return    0.000 | deliv   0.00 | blocked 20.5% | idle 22.5% | ent 1.196
  upd  203 | return    0.000 | deliv   0.00 | blocked 19.3% | idle 22.8% | ent 1.203
  upd  204 | return    0.000 | deliv   0.00 | blocked 19.2% | idle 23.0% | ent 1.217
  upd  205 | return    0.000 | deliv   0.00 | blocked 18.5% | idle 23.3% | ent 1.218
  upd  206 | return    0.000 | deliv   0.00 | blocked 17.8% | idle 22.8% | ent 1.212
  upd  207 | return    0.000 | deliv   0.00 | blocked 16.6% | idle 23.7% | ent 1.226
  upd  208 | return    0.000 | deliv   0.00 | blocked 16.1% | idle 23.8% | ent 1.213
  upd  209 | return    0.000 | deliv   0.00 | blocked 15.7% | idle 23.8% | ent 1.233
  upd  210 | return    0.000 | deliv   0.00 | blocked 17.8% | idle 23.8% | ent 1.215
  upd  211 | return    0.000 | deliv   0.00 | blocked 16.8% | idle 24.0% | ent 1.213
  upd  212 | return    0.000 | deliv   0.00 | blocked 16.6% | idle 23.5% | ent 1.204
  upd  213 | return    0.000 | deliv   0.00 | blocked 16.8% | idle 23.9% | ent 1.201
  upd  214 | return    0.000 | deliv   0.00 | blocked 16.6% | idle 24.9% | ent 1.242
  upd  215 | return    0.000 | deliv   0.00 | blocked 15.8% | idle 25.8% | ent 1.234
  upd  216 | return    0.000 | deliv   0.00 | blocked 15.3% | idle 24.1% | ent 1.195
