E0603 08:29:12.503865     437 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 08:29:12.514933     391 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=mappo (centralised_critic=True, use_ppo=True, use_rnn=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/mappo_fc_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  upd  260 | return    0.000 | deliv   0.00 | blocked 85.7% | idle  0.5% | ent 0.234
  upd  261 | return    0.000 | deliv   0.00 | blocked 89.0% | idle  0.5% | ent 0.196
  upd  262 | return    0.000 | deliv   0.00 | blocked 87.0% | idle  0.4% | ent 0.213
  upd  263 | return    0.000 | deliv   0.00 | blocked 87.8% | idle  0.4% | ent 0.203
  upd  264 | return    0.100 | deliv   0.10 | blocked 88.7% | idle  0.5% | ent 0.220
  upd  265 | return    0.000 | deliv   0.00 | blocked 89.6% | idle  0.4% | ent 0.206
  upd  266 | return    0.000 | deliv   0.00 | blocked 85.0% | idle  0.5% | ent 0.268
  upd  267 | return    0.000 | deliv   0.00 | blocked 84.7% | idle  0.5% | ent 0.293
  upd  268 | return    0.000 | deliv   0.00 | blocked 84.5% | idle  0.5% | ent 0.265
  upd  269 | return    0.000 | deliv   0.00 | blocked 82.3% | idle  0.6% | ent 0.304
  upd  270 | return    0.000 | deliv   0.00 | blocked 80.2% | idle  0.6% | ent 0.326
  upd  271 | return    0.000 | deliv   0.00 | blocked 81.1% | idle  0.5% | ent 0.320
