E0602 22:37:41.946430     450 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0602 22:37:41.968346     401 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=maa2c (centralised_critic=True, use_ppo=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=1000  (steps/update=5000)  seed=2
run-dir=runs/maa2c_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  upd   86 | return    0.200 | deliv   0.20 | blocked 28.9% | idle  1.0% | ent 0.784
  upd   87 | return    0.200 | deliv   0.20 | blocked 29.2% | idle  1.0% | ent 0.790
  upd   88 | return    0.500 | deliv   0.50 | blocked 28.4% | idle  0.9% | ent 0.782
  upd   89 | return    0.400 | deliv   0.40 | blocked 27.9% | idle  1.0% | ent 0.779
  upd   90 | return    0.200 | deliv   0.20 | blocked 27.6% | idle  0.8% | ent 0.778
  upd   91 | return    0.300 | deliv   0.30 | blocked 29.6% | idle  0.7% | ent 0.757
  upd   92 | return    0.400 | deliv   0.40 | blocked 28.2% | idle  0.7% | ent 0.755
  upd   93 | return    0.400 | deliv   0.40 | blocked 29.8% | idle  0.7% | ent 0.754
  upd   94 | return    0.500 | deliv   0.50 | blocked 29.1% | idle  0.7% | ent 0.753
  upd   95 | return    0.500 | deliv   0.50 | blocked 28.1% | idle  0.9% | ent 0.772
  upd   96 | return    0.200 | deliv   0.20 | blocked 27.3% | idle  0.7% | ent 0.761
  upd   97 | return    0.500 | deliv   0.50 | blocked 24.7% | idle  0.7% | ent 0.797
  upd   98 | return    0.200 | deliv   0.20 | blocked 26.6% | idle  0.8% | ent 0.786
  upd   99 | return    0.400 | deliv   0.40 | blocked 23.5% | idle  0.7% | ent 0.817
[commentary @ update 100]
  deliveries/episode ~0.3 ~   team return ~0.30 ~
  contention (forward-blocked) 27.8% ~   idle 1.8%
  barely any deliveries yet across the episode (early 0.1 / mid 0.1 / late 0.1)
  upd  100 | return    0.400 | deliv   0.40 | blocked 21.9% | idle  0.7% | ent 0.823
  upd  101 | return    0.200 | deliv   0.20 | blocked 22.6% | idle  0.8% | ent 0.831
  upd  102 | return    0.500 | deliv   0.50 | blocked 21.9% | idle  0.7% | ent 0.825
  upd  103 | return    0.600 | deliv   0.60 | blocked 22.3% | idle  0.8% | ent 0.831
  upd  104 | return    0.100 | deliv   0.10 | blocked 19.9% | idle  0.8% | ent 0.853
  upd  105 | return    0.100 | deliv   0.10 | blocked 21.8% | idle  0.7% | ent 0.827
  upd  106 | return    0.500 | deliv   0.50 | blocked 23.1% | idle  0.7% | ent 0.820
  upd  107 | return    0.300 | deliv   0.30 | blocked 21.9% | idle  0.8% | ent 0.831
  upd  108 | return    0.200 | deliv   0.20 | blocked 24.2% | idle  0.8% | ent 0.811
  upd  109 | return    0.500 | deliv   0.50 | blocked 27.2% | idle  0.6% | ent 0.795
  upd  110 | return    0.200 | deliv   0.20 | blocked 26.7% | idle  0.7% | ent 0.782
  upd  111 | return    0.100 | deliv   0.10 | blocked 29.2% | idle  0.6% | ent 0.751
  upd  112 | return    0.200 | deliv   0.20 | blocked 31.1% | idle  0.5% | ent 0.728
  upd  113 | return    0.400 | deliv   0.40 | blocked 32.8% | idle  0.6% | ent 0.700
  upd  114 | return    0.200 | deliv   0.20 | blocked 34.1% | idle  0.5% | ent 0.678
  upd  115 | return    0.100 | deliv   0.10 | blocked 39.2% | idle  0.5% | ent 0.645
  upd  116 | return    0.200 | deliv   0.20 | blocked 37.7% | idle  0.4% | ent 0.634
  upd  117 | return    0.400 | deliv   0.40 | blocked 38.7% | idle  0.6% | ent 0.619
  upd  118 | return    0.000 | deliv   0.00 | blocked 41.3% | idle  0.5% | ent 0.600
  upd  119 | return    0.200 | deliv   0.20 | blocked 37.6% | idle  0.7% | ent 0.637
  upd  120 | return    0.300 | deliv   0.30 | blocked 42.2% | idle  0.6% | ent 0.599
  upd  121 | return    0.000 | deliv   0.00 | blocked 40.3% | idle  0.5% | ent 0.600
  upd  122 | return    0.400 | deliv   0.40 | blocked 41.1% | idle  0.5% | ent 0.603
  upd  123 | return    0.400 | deliv   0.40 | blocked 37.8% | idle  0.6% | ent 0.620
  upd  124 | return    0.100 | deliv   0.10 | blocked 39.1% | idle  0.4% | ent 0.597
  upd  125 | return    0.000 | deliv   0.00 | blocked 40.2% | idle  0.6% | ent 0.599
  upd  126 | return    0.100 | deliv   0.10 | blocked 40.8% | idle  0.4% | ent 0.596
  upd  127 | return    0.300 | deliv   0.30 | blocked 40.1% | idle  0.6% | ent 0.607
  upd  128 | return    0.100 | deliv   0.10 | blocked 43.1% | idle  0.4% | ent 0.579
  upd  129 | return    0.100 | deliv   0.10 | blocked 39.6% | idle  0.6% | ent 0.600
  upd  130 | return    0.300 | deliv   0.30 | blocked 40.9% | idle  0.5% | ent 0.583
  upd  131 | return    0.000 | deliv   0.00 | blocked 42.3% | idle  0.5% | ent 0.579
  upd  132 | return    0.300 | deliv   0.30 | blocked 41.1% | idle  0.4% | ent 0.582
  upd  133 | return    0.200 | deliv   0.20 | blocked 41.9% | idle  0.5% | ent 0.579
  upd  134 | return    0.400 | deliv   0.40 | blocked 41.0% | idle  0.5% | ent 0.583
  upd  135 | return    0.100 | deliv   0.10 | blocked 38.4% | idle  0.6% | ent 0.614
  upd  136 | return    0.100 | deliv   0.10 | blocked 35.1% | idle  0.5% | ent 0.636
  upd  137 | return    0.200 | deliv   0.20 | blocked 31.0% | idle  0.7% | ent 0.681
  upd  138 | return    0.100 | deliv   0.10 | blocked 34.0% | idle  0.4% | ent 0.660
  upd  139 | return    0.000 | deliv   0.00 | blocked 33.8% | idle  0.6% | ent 0.669
  upd  140 | return    0.300 | deliv   0.30 | blocked 30.2% | idle  0.6% | ent 0.686
  upd  141 | return    0.200 | deliv   0.20 | blocked 28.5% | idle  0.5% | ent 0.701
  upd  142 | return    0.200 | deliv   0.20 | blocked 26.9% | idle  0.6% | ent 0.713
  upd  143 | return    0.000 | deliv   0.00 | blocked 23.7% | idle  0.7% | ent 0.726
  upd  144 | return    0.300 | deliv   0.30 | blocked 26.9% | idle  0.5% | ent 0.704
  upd  145 | return    0.100 | deliv   0.10 | blocked 26.5% | idle  0.6% | ent 0.719
  upd  146 | return    0.200 | deliv   0.20 | blocked 25.6% | idle  0.6% | ent 0.725
  upd  147 | return    0.100 | deliv   0.10 | blocked 25.0% | idle  0.6% | ent 0.736
  upd  148 | return    0.300 | deliv   0.30 | blocked 25.4% | idle  0.7% | ent 0.751
  upd  149 | return    0.200 | deliv   0.20 | blocked 25.0% | idle  0.7% | ent 0.737
  upd  150 | return    0.000 | deliv   0.00 | blocked 29.9% | idle  0.5% | ent 0.707
  upd  151 | return    0.200 | deliv   0.20 | blocked 28.2% | idle  0.5% | ent 0.714
  upd  152 | return    0.100 | deliv   0.10 | blocked 29.3% | idle  0.6% | ent 0.718
  upd  153 | return    0.100 | deliv   0.10 | blocked 27.5% | idle  0.5% | ent 0.715
  upd  154 | return    0.100 | deliv   0.10 | blocked 30.0% | idle  0.5% | ent 0.694
  upd  155 | return    0.300 | deliv   0.30 | blocked 29.1% | idle  0.5% | ent 0.705
  upd  156 | return    0.100 | deliv   0.10 | blocked 27.7% | idle  0.6% | ent 0.709
  upd  157 | return    0.200 | deliv   0.20 | blocked 28.2% | idle  0.6% | ent 0.714
  upd  158 | return    0.100 | deliv   0.10 | blocked 29.0% | idle  0.5% | ent 0.704
  upd  159 | return    0.300 | deliv   0.30 | blocked 27.8% | idle  0.5% | ent 0.713
  upd  160 | return    0.200 | deliv   0.20 | blocked 28.8% | idle  0.4% | ent 0.702
  upd  161 | return    0.300 | deliv   0.30 | blocked 32.2% | idle  0.5% | ent 0.681
  upd  162 | return    0.100 | deliv   0.10 | blocked 29.5% | idle  0.6% | ent 0.689
  upd  163 | return    0.200 | deliv   0.20 | blocked 34.4% | idle  0.5% | ent 0.655
  upd  164 | return    0.000 | deliv   0.00 | blocked 35.4% | idle  0.5% | ent 0.666
  upd  165 | return    0.000 | deliv   0.00 | blocked 35.0% | idle  0.5% | ent 0.668
  upd  166 | return    0.200 | deliv   0.20 | blocked 34.2% | idle  0.5% | ent 0.677
  upd  167 | return    0.100 | deliv   0.10 | blocked 34.2% | idle  0.3% | ent 0.668
  upd  168 | return    0.100 | deliv   0.10 | blocked 30.0% | idle  0.6% | ent 0.696
  upd  169 | return    0.000 | deliv   0.00 | blocked 31.0% | idle  0.5% | ent 0.686
  upd  170 | return    0.100 | deliv   0.10 | blocked 30.8% | idle  0.6% | ent 0.703
  upd  171 | return    0.300 | deliv   0.30 | blocked 33.6% | idle  0.5% | ent 0.682
  upd  172 | return    0.400 | deliv   0.40 | blocked 32.6% | idle  0.5% | ent 0.686
  upd  173 | return    0.100 | deliv   0.10 | blocked 36.2% | idle  0.4% | ent 0.677
  upd  174 | return    0.200 | deliv   0.20 | blocked 33.6% | idle  0.5% | ent 0.693
