E0614 00:22:39.568782   17332 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0614 00:22:39.586518   17290 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=maa2c (centralised_critic=True, use_ppo=False, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/maa2c_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
resumed from checkpoint step 3000 (latest) (15,000,000 env steps)
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 3000] return 4.00  deliveries 4  -> runs/maa2c_tiny-4ag_seed2/replays/replay_upd003000_s0.npz
  upd 3158 | return    4.200 | deliv   4.20 | blocked 10.4% | idle  0.4% | ent 0.607
  upd 3159 | return    2.600 | deliv   2.60 | blocked 13.3% | idle  0.3% | ent 0.538
  upd 3160 | return    2.800 | deliv   2.80 | blocked 10.4% | idle  0.4% | ent 0.601
  upd 3161 | return    3.700 | deliv   3.70 | blocked 12.6% | idle  0.4% | ent 0.622
  upd 3162 | return    3.100 | deliv   3.10 | blocked 11.1% | idle  0.4% | ent 0.625
  upd 3163 | return    4.100 | deliv   4.10 | blocked 11.9% | idle  0.5% | ent 0.619
  upd 3164 | return    5.300 | deliv   5.30 | blocked 12.9% | idle  0.4% | ent 0.646
  upd 3165 | return    3.800 | deliv   3.80 | blocked 14.7% | idle  0.6% | ent 0.669
  upd 3166 | return    3.000 | deliv   3.00 | blocked 16.0% | idle  0.5% | ent 0.600
  upd 3167 | return    4.700 | deliv   4.70 | blocked 12.5% | idle  0.5% | ent 0.679
  upd 3168 | return    4.200 | deliv   4.20 | blocked 15.4% | idle  0.5% | ent 0.648
  upd 3169 | return    3.900 | deliv   3.90 | blocked 16.7% | idle  0.5% | ent 0.601
  upd 3170 | return    4.000 | deliv   4.00 | blocked 14.3% | idle  0.5% | ent 0.644
  upd 3171 | return    4.500 | deliv   4.50 | blocked 15.9% | idle  0.5% | ent 0.704
  upd 3172 | return    3.300 | deliv   3.30 | blocked 15.3% | idle  0.5% | ent 0.616
  upd 3173 | return    3.800 | deliv   3.80 | blocked 14.3% | idle  0.5% | ent 0.562
  upd 3174 | return    4.700 | deliv   4.70 | blocked 16.0% | idle  0.4% | ent 0.608
  upd 3175 | return    2.200 | deliv   2.20 | blocked 16.4% | idle  0.4% | ent 0.536
  upd 3176 | return    4.400 | deliv   4.40 | blocked 15.2% | idle  0.5% | ent 0.604
  upd 3177 | return    3.900 | deliv   3.90 | blocked 12.8% | idle  0.5% | ent 0.547
  upd 3178 | return    3.300 | deliv   3.30 | blocked 14.8% | idle  0.4% | ent 0.552
  upd 3179 | return    3.400 | deliv   3.40 | blocked 13.9% | idle  0.5% | ent 0.575
  upd 3180 | return    3.500 | deliv   3.50 | blocked 15.0% | idle  0.5% | ent 0.579
  upd 3181 | return    4.800 | deliv   4.80 | blocked 12.3% | idle  0.5% | ent 0.581
  upd 3182 | return    5.600 | deliv   5.60 | blocked 13.8% | idle  0.4% | ent 0.556
  upd 3183 | return    3.700 | deliv   3.70 | blocked 13.6% | idle  0.4% | ent 0.570
  upd 3184 | return    4.200 | deliv   4.20 | blocked 13.0% | idle  0.3% | ent 0.544
  upd 3185 | return    3.500 | deliv   3.50 | blocked 12.5% | idle  0.4% | ent 0.532
  upd 3186 | return    3.800 | deliv   3.80 | blocked 11.9% | idle  0.6% | ent 0.547
  upd 3187 | return    2.800 | deliv   2.80 | blocked 11.0% | idle  0.5% | ent 0.531
  upd 3188 | return    4.600 | deliv   4.60 | blocked 10.6% | idle  0.5% | ent 0.594
  upd 3189 | return    5.800 | deliv   5.80 | blocked  9.9% | idle  0.5% | ent 0.600
  upd 3190 | return    3.400 | deliv   3.40 | blocked  9.4% | idle  0.4% | ent 0.580
  upd 3191 | return    3.700 | deliv   3.70 | blocked 12.1% | idle  0.4% | ent 0.585
  upd 3192 | return    3.800 | deliv   3.80 | blocked 10.3% | idle  0.5% | ent 0.644
  upd 3193 | return    4.400 | deliv   4.40 | blocked  9.9% | idle  0.5% | ent 0.595
  upd 3194 | return    4.300 | deliv   4.30 | blocked 11.6% | idle  0.5% | ent 0.561
  upd 3195 | return    4.300 | deliv   4.30 | blocked 12.6% | idle  0.4% | ent 0.566
