E0614 00:51:54.171492     452 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0614 00:51:54.190415     407 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=ia2c (centralised_critic=False, use_ppo=False, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/ia2c_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
resumed from checkpoint step 2000 (latest) (10,000,000 env steps)
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 2000] return 4.00  deliveries 4  -> runs/ia2c_tiny-4ag_seed2/replays/replay_upd002000_s0.npz
  upd 2074 | return    4.300 | deliv   4.30 | blocked 10.3% | idle  0.1% | ent 0.381
  upd 2075 | return    3.300 | deliv   3.30 | blocked 13.4% | idle  0.2% | ent 0.373
  upd 2076 | return    3.200 | deliv   3.20 | blocked  8.6% | idle  0.1% | ent 0.355
  upd 2077 | return    4.200 | deliv   4.20 | blocked 14.8% | idle  0.1% | ent 0.362
  upd 2078 | return    2.900 | deliv   2.90 | blocked 11.9% | idle  0.1% | ent 0.336
  upd 2079 | return    4.300 | deliv   4.30 | blocked 10.9% | idle  0.1% | ent 0.378
  upd 2080 | return    3.800 | deliv   3.80 | blocked 18.3% | idle  0.1% | ent 0.353
  upd 2081 | return    2.600 | deliv   2.60 | blocked 12.9% | idle  0.1% | ent 0.355
  upd 2082 | return    2.300 | deliv   2.30 | blocked 25.2% | idle  0.1% | ent 0.315
  upd 2083 | return    3.500 | deliv   3.50 | blocked 10.6% | idle  0.1% | ent 0.394
  upd 2084 | return    3.100 | deliv   3.10 | blocked 17.6% | idle  0.1% | ent 0.342
  upd 2085 | return    4.300 | deliv   4.30 | blocked 10.8% | idle  0.1% | ent 0.387
  upd 2086 | return    4.700 | deliv   4.70 | blocked  9.9% | idle  0.2% | ent 0.401
  upd 2087 | return    4.600 | deliv   4.60 | blocked 16.7% | idle  0.2% | ent 0.393
  upd 2088 | return    3.400 | deliv   3.40 | blocked 16.5% | idle  0.1% | ent 0.372
  upd 2089 | return    4.200 | deliv   4.20 | blocked  9.2% | idle  0.1% | ent 0.395
  upd 2090 | return    3.200 | deliv   3.20 | blocked 14.1% | idle  0.1% | ent 0.378
  upd 2091 | return    3.900 | deliv   3.90 | blocked 18.0% | idle  0.1% | ent 0.355
  upd 2092 | return    3.300 | deliv   3.30 | blocked 10.1% | idle  0.1% | ent 0.375
  upd 2093 | return    3.500 | deliv   3.50 | blocked 14.6% | idle  0.1% | ent 0.400
  upd 2094 | return    6.500 | deliv   6.50 | blocked 10.8% | idle  0.2% | ent 0.423
  upd 2095 | return    4.000 | deliv   4.00 | blocked 16.2% | idle  0.1% | ent 0.392
  upd 2096 | return    6.000 | deliv   6.00 | blocked  6.1% | idle  0.2% | ent 0.458
  upd 2097 | return    5.200 | deliv   5.20 | blocked  7.7% | idle  0.1% | ent 0.429
  upd 2098 | return    4.100 | deliv   4.10 | blocked 16.6% | idle  0.1% | ent 0.384
  upd 2099 | return    3.400 | deliv   3.40 | blocked  8.1% | idle  0.1% | ent 0.409
WARNING:absl:Attempted to create temporary directory /mnt/c/Users/user1/projects/jax_marl3/runs/ia2c_tiny-4ag_seed2/checkpoints/2100.orbax-checkpoint-tmp which already exists. Removing existing directory since it is not finalized.
  [replay @ update 2100] return 3.00  deliveries 3  -> runs/ia2c_tiny-4ag_seed2/replays/replay_upd002100_s0.npz
  upd 2100 | return    3.600 | deliv   3.60 | blocked 12.7% | idle  0.1% | ent 0.410
  upd 2101 | return    4.000 | deliv   4.00 | blocked  8.5% | idle  0.1% | ent 0.409
  upd 2102 | return    3.800 | deliv   3.80 | blocked  7.1% | idle  0.1% | ent 0.418
  upd 2103 | return    4.400 | deliv   4.40 | blocked  7.7% | idle  0.1% | ent 0.438
  upd 2104 | return    4.100 | deliv   4.10 | blocked  5.7% | idle  0.1% | ent 0.407
  upd 2105 | return    4.600 | deliv   4.60 | blocked  7.7% | idle  0.1% | ent 0.418
  upd 2106 | return    4.000 | deliv   4.00 | blocked 13.0% | idle  0.1% | ent 0.396
  upd 2107 | return    3.900 | deliv   3.90 | blocked 10.8% | idle  0.1% | ent 0.396
  upd 2108 | return    5.300 | deliv   5.30 | blocked 15.2% | idle  0.1% | ent 0.367
  upd 2109 | return    3.200 | deliv   3.20 | blocked  7.8% | idle  0.1% | ent 0.368
  upd 2110 | return    2.400 | deliv   2.40 | blocked 13.2% | idle  0.0% | ent 0.328
  upd 2111 | return    5.000 | deliv   5.00 | blocked 11.8% | idle  0.1% | ent 0.374
  upd 2112 | return    3.700 | deliv   3.70 | blocked  7.9% | idle  0.1% | ent 0.375
  upd 2113 | return    4.500 | deliv   4.50 | blocked 11.6% | idle  0.1% | ent 0.394
  upd 2114 | return    3.400 | deliv   3.40 | blocked 12.2% | idle  0.1% | ent 0.367
  upd 2115 | return    4.500 | deliv   4.50 | blocked  9.4% | idle  0.1% | ent 0.385
  upd 2116 | return    5.200 | deliv   5.20 | blocked 12.2% | idle  0.1% | ent 0.360
  upd 2117 | return    4.400 | deliv   4.40 | blocked 13.5% | idle  0.1% | ent 0.365
  upd 2118 | return    4.500 | deliv   4.50 | blocked 14.4% | idle  0.1% | ent 0.352
  upd 2119 | return    3.900 | deliv   3.90 | blocked 17.1% | idle  0.0% | ent 0.338
  upd 2120 | return    4.200 | deliv   4.20 | blocked 15.3% | idle  0.1% | ent 0.362
  upd 2121 | return    4.300 | deliv   4.30 | blocked 10.8% | idle  0.1% | ent 0.362
  upd 2122 | return    5.200 | deliv   5.20 | blocked 12.4% | idle  0.1% | ent 0.381
  upd 2123 | return    4.300 | deliv   4.30 | blocked 13.3% | idle  0.1% | ent 0.371
  upd 2124 | return    5.600 | deliv   5.60 | blocked 20.8% | idle  0.1% | ent 0.351
  upd 2125 | return    5.000 | deliv   5.00 | blocked 26.0% | idle  0.1% | ent 0.328
  upd 2126 | return    5.400 | deliv   5.40 | blocked 12.8% | idle  0.1% | ent 0.384
  upd 2127 | return    3.900 | deliv   3.90 | blocked 11.9% | idle  0.1% | ent 0.364
  upd 2128 | return    1.600 | deliv   1.60 | blocked 13.1% | idle  0.1% | ent 0.347
  upd 2129 | return    3.700 | deliv   3.70 | blocked 13.0% | idle  0.1% | ent 0.396
  upd 2130 | return    3.200 | deliv   3.20 | blocked 22.9% | idle  0.2% | ent 0.338
  upd 2131 | return    4.600 | deliv   4.60 | blocked 13.9% | idle  0.1% | ent 0.391
  upd 2132 | return    3.100 | deliv   3.10 | blocked 19.7% | idle  0.1% | ent 0.350
  upd 2133 | return    3.900 | deliv   3.90 | blocked 10.5% | idle  0.1% | ent 0.330
  upd 2134 | return    3.800 | deliv   3.80 | blocked 14.4% | idle  0.1% | ent 0.359
  upd 2135 | return    5.400 | deliv   5.40 | blocked 11.2% | idle  0.1% | ent 0.416
  upd 2136 | return    4.100 | deliv   4.10 | blocked 12.5% | idle  0.1% | ent 0.369
  upd 2137 | return    4.700 | deliv   4.70 | blocked  7.5% | idle  0.2% | ent 0.395
  upd 2138 | return    3.800 | deliv   3.80 | blocked 12.5% | idle  0.1% | ent 0.348
  upd 2139 | return    4.000 | deliv   4.00 | blocked 15.5% | idle  0.1% | ent 0.335
  upd 2140 | return    3.100 | deliv   3.10 | blocked 13.6% | idle  0.1% | ent 0.366
  upd 2141 | return    5.100 | deliv   5.10 | blocked 15.6% | idle  0.2% | ent 0.389
  upd 2142 | return    2.800 | deliv   2.80 | blocked 10.8% | idle  0.1% | ent 0.371
  upd 2143 | return    3.800 | deliv   3.80 | blocked 14.9% | idle  0.2% | ent 0.376
  upd 2144 | return    3.700 | deliv   3.70 | blocked  9.8% | idle  0.1% | ent 0.380
  upd 2145 | return    3.300 | deliv   3.30 | blocked 10.5% | idle  0.1% | ent 0.339
  upd 2146 | return    4.300 | deliv   4.30 | blocked 12.5% | idle  0.2% | ent 0.392
  upd 2147 | return    4.100 | deliv   4.10 | blocked 16.3% | idle  0.1% | ent 0.383
  upd 2148 | return    3.600 | deliv   3.60 | blocked 10.6% | idle  0.1% | ent 0.383
  upd 2149 | return    3.500 | deliv   3.50 | blocked  7.7% | idle  0.1% | ent 0.383
  upd 2150 | return    3.400 | deliv   3.40 | blocked  8.2% | idle  0.1% | ent 0.397
  upd 2151 | return    4.300 | deliv   4.30 | blocked 19.2% | idle  0.1% | ent 0.356
