E0613 00:01:58.031783   15499 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0613 00:01:58.045836   15457 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=ia2c (centralised_critic=False, use_ppo=False, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/ia2c_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 0] return 0.00  deliveries 0  -> runs/ia2c_tiny-4ag_seed2/replays/replay_upd000000_s0.npz
  upd  127 | return    0.000 | deliv   0.00 | blocked 72.5% | idle  0.3% | ent 0.495
  upd  128 | return    0.000 | deliv   0.00 | blocked 75.1% | idle  0.3% | ent 0.472
  upd  129 | return    0.100 | deliv   0.10 | blocked 75.1% | idle  0.3% | ent 0.463
  upd  130 | return    0.000 | deliv   0.00 | blocked 74.1% | idle  0.3% | ent 0.480
  upd  131 | return    0.000 | deliv   0.00 | blocked 73.5% | idle  0.3% | ent 0.488
  upd  132 | return    0.000 | deliv   0.00 | blocked 74.6% | idle  0.3% | ent 0.488
  upd  133 | return    0.000 | deliv   0.00 | blocked 75.1% | idle  0.4% | ent 0.476
  upd  134 | return    0.000 | deliv   0.00 | blocked 74.5% | idle  0.4% | ent 0.486
  upd  135 | return    0.000 | deliv   0.00 | blocked 74.4% | idle  0.4% | ent 0.501
  upd  136 | return    0.000 | deliv   0.00 | blocked 73.1% | idle  0.4% | ent 0.502
  upd  137 | return    0.100 | deliv   0.10 | blocked 74.2% | idle  0.4% | ent 0.492
  upd  138 | return    0.000 | deliv   0.00 | blocked 72.9% | idle  0.4% | ent 0.514
  upd  139 | return    0.100 | deliv   0.10 | blocked 73.4% | idle  0.4% | ent 0.509
  upd  140 | return    0.000 | deliv   0.00 | blocked 76.0% | idle  0.3% | ent 0.486
  upd  141 | return    0.000 | deliv   0.00 | blocked 72.8% | idle  0.3% | ent 0.523
  upd  142 | return    0.000 | deliv   0.00 | blocked 74.7% | idle  0.4% | ent 0.491
  upd  143 | return    0.000 | deliv   0.00 | blocked 75.5% | idle  0.4% | ent 0.484
  upd  144 | return    0.000 | deliv   0.00 | blocked 76.6% | idle  0.3% | ent 0.459
  upd  145 | return    0.100 | deliv   0.10 | blocked 79.2% | idle  0.3% | ent 0.436
  upd  146 | return    0.000 | deliv   0.00 | blocked 79.2% | idle  0.3% | ent 0.441
  upd  147 | return    0.000 | deliv   0.00 | blocked 77.3% | idle  0.3% | ent 0.453
  upd  148 | return    0.000 | deliv   0.00 | blocked 78.9% | idle  0.3% | ent 0.446
  upd  149 | return    0.000 | deliv   0.00 | blocked 73.3% | idle  0.4% | ent 0.466
  upd  150 | return    0.000 | deliv   0.00 | blocked 79.3% | idle  0.3% | ent 0.428
  upd  151 | return    0.000 | deliv   0.00 | blocked 79.2% | idle  0.3% | ent 0.429
  upd  152 | return    0.000 | deliv   0.00 | blocked 76.5% | idle  0.3% | ent 0.440
  upd  153 | return    0.000 | deliv   0.00 | blocked 78.1% | idle  0.3% | ent 0.422
  upd  154 | return    0.000 | deliv   0.00 | blocked 81.2% | idle  0.3% | ent 0.401
  upd  155 | return    0.000 | deliv   0.00 | blocked 80.3% | idle  0.2% | ent 0.391
  upd  156 | return    0.000 | deliv   0.00 | blocked 82.5% | idle  0.2% | ent 0.370
  upd  157 | return    0.000 | deliv   0.00 | blocked 81.8% | idle  0.3% | ent 0.363
  upd  158 | return    0.000 | deliv   0.00 | blocked 81.3% | idle  0.3% | ent 0.368
  upd  159 | return    0.000 | deliv   0.00 | blocked 81.3% | idle  0.3% | ent 0.359
  upd  160 | return    0.000 | deliv   0.00 | blocked 84.1% | idle  0.2% | ent 0.331
  upd  161 | return    0.100 | deliv   0.10 | blocked 85.4% | idle  0.2% | ent 0.308
  upd  162 | return    0.000 | deliv   0.00 | blocked 82.8% | idle  0.2% | ent 0.357
  upd  163 | return    0.000 | deliv   0.00 | blocked 81.5% | idle  0.3% | ent 0.385
  upd  164 | return    0.000 | deliv   0.00 | blocked 81.5% | idle  0.2% | ent 0.391
  upd  165 | return    0.000 | deliv   0.00 | blocked 78.8% | idle  0.3% | ent 0.422
  upd  166 | return    0.100 | deliv   0.10 | blocked 78.4% | idle  0.3% | ent 0.423
  upd  167 | return    0.000 | deliv   0.00 | blocked 74.6% | idle  0.3% | ent 0.497
  upd  168 | return    0.100 | deliv   0.10 | blocked 64.7% | idle  0.4% | ent 0.639
  upd  169 | return    0.000 | deliv   0.00 | blocked 61.5% | idle  0.4% | ent 0.672
  upd  170 | return    0.000 | deliv   0.00 | blocked 54.8% | idle  0.5% | ent 0.731
  upd  171 | return    0.100 | deliv   0.10 | blocked 50.9% | idle  0.6% | ent 0.788
  upd  172 | return    0.000 | deliv   0.00 | blocked 46.5% | idle  0.5% | ent 0.816
  upd  173 | return    0.000 | deliv   0.00 | blocked 41.2% | idle  0.5% | ent 0.844
  upd  174 | return    0.100 | deliv   0.10 | blocked 39.1% | idle  0.5% | ent 0.867
  upd  175 | return    0.100 | deliv   0.10 | blocked 37.9% | idle  0.6% | ent 0.879
  upd  176 | return    0.000 | deliv   0.00 | blocked 39.6% | idle  0.5% | ent 0.846
  upd  177 | return    0.100 | deliv   0.10 | blocked 37.8% | idle  0.6% | ent 0.873
  upd  178 | return    0.000 | deliv   0.00 | blocked 40.6% | idle  0.4% | ent 0.838
  upd  179 | return    0.000 | deliv   0.00 | blocked 43.9% | idle  0.5% | ent 0.815
  upd  180 | return    0.200 | deliv   0.20 | blocked 43.1% | idle  0.6% | ent 0.822
  upd  181 | return    0.000 | deliv   0.00 | blocked 50.0% | idle  0.4% | ent 0.778
  upd  182 | return    0.000 | deliv   0.00 | blocked 50.1% | idle  0.4% | ent 0.775
  upd  183 | return    0.000 | deliv   0.00 | blocked 54.7% | idle  0.4% | ent 0.706
  upd  184 | return    0.000 | deliv   0.00 | blocked 60.4% | idle  0.3% | ent 0.668
  upd  185 | return    0.000 | deliv   0.00 | blocked 60.7% | idle  0.3% | ent 0.663
  upd  186 | return    0.000 | deliv   0.00 | blocked 67.1% | idle  0.3% | ent 0.576
  upd  187 | return    0.000 | deliv   0.00 | blocked 72.0% | idle  0.3% | ent 0.527
  upd  188 | return    0.000 | deliv   0.00 | blocked 74.0% | idle  0.3% | ent 0.487
  upd  189 | return    0.000 | deliv   0.00 | blocked 75.5% | idle  0.2% | ent 0.465
  upd  190 | return    0.000 | deliv   0.00 | blocked 76.7% | idle  0.2% | ent 0.451
  upd  191 | return    0.000 | deliv   0.00 | blocked 81.1% | idle  0.2% | ent 0.390
  upd  192 | return    0.000 | deliv   0.00 | blocked 82.7% | idle  0.1% | ent 0.371
  upd  193 | return    0.000 | deliv   0.00 | blocked 81.5% | idle  0.2% | ent 0.380
  upd  194 | return    0.000 | deliv   0.00 | blocked 81.1% | idle  0.2% | ent 0.361
  upd  195 | return    0.100 | deliv   0.10 | blocked 83.5% | idle  0.2% | ent 0.348
  upd  196 | return    0.000 | deliv   0.00 | blocked 85.8% | idle  0.1% | ent 0.315
  upd  197 | return    0.000 | deliv   0.00 | blocked 86.3% | idle  0.2% | ent 0.289
  upd  198 | return    0.000 | deliv   0.00 | blocked 89.0% | idle  0.1% | ent 0.250
  upd  199 | return    0.000 | deliv   0.00 | blocked 88.5% | idle  0.1% | ent 0.253
  [replay @ update 200] return 0.00  deliveries 0  -> runs/ia2c_tiny-4ag_seed2/replays/replay_upd000200_s0.npz
  upd  200 | return    0.000 | deliv   0.00 | blocked 90.3% | idle  0.1% | ent 0.221
  upd  201 | return    0.000 | deliv   0.00 | blocked 90.0% | idle  0.1% | ent 0.228
  upd  202 | return    0.000 | deliv   0.00 | blocked 89.0% | idle  0.1% | ent 0.214
  upd  203 | return    0.000 | deliv   0.00 | blocked 91.7% | idle  0.1% | ent 0.187
  upd  204 | return    0.000 | deliv   0.00 | blocked 90.7% | idle  0.1% | ent 0.197
  upd  205 | return    0.000 | deliv   0.00 | blocked 91.5% | idle  0.2% | ent 0.181
  upd  206 | return    0.000 | deliv   0.00 | blocked 90.1% | idle  0.1% | ent 0.198
  upd  207 | return    0.000 | deliv   0.00 | blocked 90.1% | idle  0.1% | ent 0.202
  upd  208 | return    0.000 | deliv   0.00 | blocked 90.8% | idle  0.1% | ent 0.179
  upd  209 | return    0.000 | deliv   0.00 | blocked 91.4% | idle  0.1% | ent 0.182
  upd  210 | return    0.000 | deliv   0.00 | blocked 90.6% | idle  0.1% | ent 0.196
  upd  211 | return    0.000 | deliv   0.00 | blocked 91.4% | idle  0.1% | ent 0.186
  upd  212 | return    0.000 | deliv   0.00 | blocked 91.2% | idle  0.2% | ent 0.183
  upd  213 | return    0.000 | deliv   0.00 | blocked 91.1% | idle  0.1% | ent 0.188
  upd  214 | return    0.000 | deliv   0.00 | blocked 91.5% | idle  0.1% | ent 0.187
  upd  215 | return    0.000 | deliv   0.00 | blocked 91.4% | idle  0.1% | ent 0.185
  upd  216 | return    0.000 | deliv   0.00 | blocked 90.7% | idle  0.1% | ent 0.189
  upd  217 | return    0.100 | deliv   0.10 | blocked 90.6% | idle  0.1% | ent 0.194
  upd  218 | return    0.000 | deliv   0.00 | blocked 90.7% | idle  0.1% | ent 0.208
  upd  219 | return    0.000 | deliv   0.00 | blocked 89.7% | idle  0.1% | ent 0.221
  upd  220 | return    0.000 | deliv   0.00 | blocked 90.2% | idle  0.1% | ent 0.219
  upd  221 | return    0.000 | deliv   0.00 | blocked 88.7% | idle  0.1% | ent 0.252
  upd  222 | return    0.000 | deliv   0.00 | blocked 88.3% | idle  0.2% | ent 0.275
  upd  223 | return    0.000 | deliv   0.00 | blocked 88.0% | idle  0.2% | ent 0.276
  upd  224 | return    0.000 | deliv   0.00 | blocked 87.5% | idle  0.1% | ent 0.288
  upd  225 | return    0.000 | deliv   0.00 | blocked 86.7% | idle  0.1% | ent 0.300
  upd  226 | return    0.000 | deliv   0.00 | blocked 85.3% | idle  0.2% | ent 0.322
  upd  227 | return    0.000 | deliv   0.00 | blocked 85.7% | idle  0.1% | ent 0.325
  upd  228 | return    0.000 | deliv   0.00 | blocked 85.2% | idle  0.2% | ent 0.335
  upd  229 | return    0.000 | deliv   0.00 | blocked 84.6% | idle  0.2% | ent 0.354
  upd  230 | return    0.000 | deliv   0.00 | blocked 83.8% | idle  0.2% | ent 0.361
  upd  231 | return    0.000 | deliv   0.00 | blocked 83.6% | idle  0.2% | ent 0.364
  upd  232 | return    0.100 | deliv   0.10 | blocked 83.4% | idle  0.2% | ent 0.366
  upd  233 | return    0.000 | deliv   0.00 | blocked 83.3% | idle  0.1% | ent 0.365
  upd  234 | return    0.000 | deliv   0.00 | blocked 82.0% | idle  0.2% | ent 0.386
  upd  235 | return    0.000 | deliv   0.00 | blocked 84.0% | idle  0.1% | ent 0.374
  upd  236 | return    0.000 | deliv   0.00 | blocked 83.1% | idle  0.2% | ent 0.387
  upd  237 | return    0.000 | deliv   0.00 | blocked 82.5% | idle  0.3% | ent 0.398
  upd  238 | return    0.000 | deliv   0.00 | blocked 82.0% | idle  0.2% | ent 0.405
  upd  239 | return    0.000 | deliv   0.00 | blocked 82.1% | idle  0.2% | ent 0.400
  upd  240 | return    0.100 | deliv   0.10 | blocked 80.4% | idle  0.2% | ent 0.408
  upd  241 | return    0.000 | deliv   0.00 | blocked 81.3% | idle  0.2% | ent 0.413
  upd  242 | return    0.000 | deliv   0.00 | blocked 81.2% | idle  0.2% | ent 0.412
  upd  243 | return    0.000 | deliv   0.00 | blocked 81.0% | idle  0.3% | ent 0.411
  upd  244 | return    0.000 | deliv   0.00 | blocked 80.2% | idle  0.2% | ent 0.414
  upd  245 | return    0.000 | deliv   0.00 | blocked 81.2% | idle  0.2% | ent 0.406
  upd  246 | return    0.000 | deliv   0.00 | blocked 81.3% | idle  0.1% | ent 0.414
  upd  247 | return    0.000 | deliv   0.00 | blocked 82.2% | idle  0.2% | ent 0.398
  upd  248 | return    0.000 | deliv   0.00 | blocked 81.9% | idle  0.2% | ent 0.408
  upd  249 | return    0.000 | deliv   0.00 | blocked 80.3% | idle  0.2% | ent 0.421
  upd  250 | return    0.000 | deliv   0.00 | blocked 81.4% | idle  0.2% | ent 0.416
  upd  251 | return    0.000 | deliv   0.00 | blocked 80.9% | idle  0.2% | ent 0.414
  upd  252 | return    0.000 | deliv   0.00 | blocked 81.5% | idle  0.2% | ent 0.403
  upd  253 | return    0.100 | deliv   0.10 | blocked 80.6% | idle  0.2% | ent 0.421
  upd  254 | return    0.000 | deliv   0.00 | blocked 82.8% | idle  0.2% | ent 0.392
  upd  255 | return    0.000 | deliv   0.00 | blocked 82.2% | idle  0.2% | ent 0.396
  upd  256 | return    0.000 | deliv   0.00 | blocked 81.5% | idle  0.2% | ent 0.377
  upd  257 | return    0.100 | deliv   0.10 | blocked 82.9% | idle  0.2% | ent 0.376
  upd  258 | return    0.000 | deliv   0.00 | blocked 84.5% | idle  0.2% | ent 0.358
  upd  259 | return    0.000 | deliv   0.00 | blocked 83.4% | idle  0.2% | ent 0.368
  upd  260 | return    0.000 | deliv   0.00 | blocked 85.1% | idle  0.2% | ent 0.341
  upd  261 | return    0.000 | deliv   0.00 | blocked 85.9% | idle  0.2% | ent 0.329
  upd  262 | return    0.000 | deliv   0.00 | blocked 86.0% | idle  0.2% | ent 0.329
  upd  263 | return    0.000 | deliv   0.00 | blocked 86.9% | idle  0.2% | ent 0.309
  upd  264 | return    0.000 | deliv   0.00 | blocked 85.7% | idle  0.2% | ent 0.323
  upd  265 | return    0.000 | deliv   0.00 | blocked 86.9% | idle  0.2% | ent 0.316
  upd  266 | return    0.000 | deliv   0.00 | blocked 86.2% | idle  0.2% | ent 0.313
  upd  267 | return    0.100 | deliv   0.10 | blocked 86.0% | idle  0.2% | ent 0.301
  upd  268 | return    0.000 | deliv   0.00 | blocked 86.0% | idle  0.2% | ent 0.320
  upd  269 | return    0.000 | deliv   0.00 | blocked 86.0% | idle  0.2% | ent 0.319
