E0603 07:59:14.077652     439 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 07:59:14.096776     393 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=mappo (centralised_critic=True, use_ppo=True, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=600  (steps/update=5000)  seed=2
run-dir=runs/mappo_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  upd  182 | return    0.200 | deliv   0.20 | blocked 55.9% | idle  0.5% | ent 0.669
  upd  183 | return    0.100 | deliv   0.10 | blocked 55.7% | idle  0.6% | ent 0.645
  upd  184 | return    0.200 | deliv   0.20 | blocked 57.9% | idle  0.6% | ent 0.595
  upd  185 | return    0.000 | deliv   0.00 | blocked 63.4% | idle  0.4% | ent 0.571
  upd  186 | return    0.000 | deliv   0.00 | blocked 61.6% | idle  0.6% | ent 0.597
  upd  187 | return    0.000 | deliv   0.00 | blocked 60.8% | idle  0.6% | ent 0.629
  upd  188 | return    0.100 | deliv   0.10 | blocked 54.8% | idle  0.7% | ent 0.641
  upd  189 | return    0.000 | deliv   0.00 | blocked 57.2% | idle  0.6% | ent 0.627
  upd  190 | return    0.000 | deliv   0.00 | blocked 60.5% | idle  0.6% | ent 0.662
  upd  191 | return    0.100 | deliv   0.10 | blocked 54.5% | idle  0.6% | ent 0.664
  upd  192 | return    0.000 | deliv   0.00 | blocked 54.9% | idle  0.6% | ent 0.625
  upd  193 | return    0.000 | deliv   0.00 | blocked 58.2% | idle  0.5% | ent 0.622
  upd  194 | return    0.100 | deliv   0.10 | blocked 58.8% | idle  0.6% | ent 0.664
  upd  195 | return    0.000 | deliv   0.00 | blocked 58.5% | idle  0.7% | ent 0.705
  upd  196 | return    0.000 | deliv   0.00 | blocked 54.2% | idle  0.7% | ent 0.729
  upd  197 | return    0.000 | deliv   0.00 | blocked 53.5% | idle  0.7% | ent 0.745
  upd  198 | return    0.100 | deliv   0.10 | blocked 54.7% | idle  0.8% | ent 0.813
  upd  199 | return    0.000 | deliv   0.00 | blocked 48.5% | idle  0.9% | ent 0.792
[commentary @ update 200]
  deliveries/episode ~0.1 ▼   team return ~0.11 ▼
  contention (forward-blocked) 55.0% ▲   idle 0.6%
  barely any deliveries yet across the episode (early 0.1 / mid 0.0 / late 0.0)
  upd  200 | return    0.100 | deliv   0.10 | blocked 48.7% | idle  0.9% | ent 0.806
  upd  201 | return    0.200 | deliv   0.20 | blocked 49.6% | idle  0.8% | ent 0.781
  upd  202 | return    0.000 | deliv   0.00 | blocked 51.8% | idle  1.1% | ent 0.792
  upd  203 | return    0.000 | deliv   0.00 | blocked 55.1% | idle  0.9% | ent 0.764
  upd  204 | return    0.200 | deliv   0.20 | blocked 56.6% | idle  0.9% | ent 0.814
  upd  205 | return    0.100 | deliv   0.10 | blocked 54.0% | idle  1.3% | ent 0.787
  upd  206 | return    0.100 | deliv   0.10 | blocked 56.4% | idle  1.1% | ent 0.704
  upd  207 | return    0.000 | deliv   0.00 | blocked 58.6% | idle  1.0% | ent 0.735
  upd  208 | return    0.000 | deliv   0.00 | blocked 61.2% | idle  1.3% | ent 0.755
  upd  209 | return    0.000 | deliv   0.00 | blocked 57.8% | idle  1.2% | ent 0.769
  upd  210 | return    0.000 | deliv   0.00 | blocked 59.3% | idle  1.4% | ent 0.799
  upd  211 | return    0.000 | deliv   0.00 | blocked 57.2% | idle  1.4% | ent 0.781
  upd  212 | return    0.000 | deliv   0.00 | blocked 52.8% | idle  1.5% | ent 0.797
  upd  213 | return    0.000 | deliv   0.00 | blocked 54.4% | idle  1.5% | ent 0.790
