E0603 10:10:58.511479     450 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 10:10:58.529362     401 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=seac (per-agent A2C, seac_coef=1.0, use_rnn=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=1000  (steps/update=5000)  seed=2
run-dir=runs/seac_fc_lam1_seed2  chunk=100 updates/save
  upd  105 | return    0.000 | deliv   0.00 | blocked 16.4% | idle  8.4% | ent 0.953
  upd  106 | return    0.200 | deliv   0.20 | blocked 17.6% | idle  7.8% | ent 0.960
  upd  107 | return    0.200 | deliv   0.20 | blocked 18.5% | idle  8.0% | ent 0.941
  upd  108 | return    0.000 | deliv   0.00 | blocked 17.5% | idle  7.2% | ent 0.908
  upd  109 | return    0.100 | deliv   0.10 | blocked 19.5% | idle  7.4% | ent 0.961
  upd  110 | return    0.100 | deliv   0.10 | blocked 17.7% | idle  8.0% | ent 0.983
  upd  111 | return    0.000 | deliv   0.00 | blocked 18.6% | idle  6.6% | ent 0.919
  upd  112 | return    0.000 | deliv   0.00 | blocked 18.5% | idle  7.2% | ent 0.972
  upd  113 | return    0.000 | deliv   0.00 | blocked 17.5% | idle  6.6% | ent 0.946
  upd  114 | return    0.100 | deliv   0.10 | blocked 17.1% | idle  5.7% | ent 0.815
  upd  115 | return    0.100 | deliv   0.10 | blocked 19.4% | idle  6.5% | ent 0.878
  upd  116 | return    0.100 | deliv   0.10 | blocked 15.4% | idle  6.8% | ent 0.907
  upd  117 | return    0.200 | deliv   0.20 | blocked 17.3% | idle  5.6% | ent 0.825
  upd  118 | return    0.000 | deliv   0.00 | blocked 17.9% | idle  6.0% | ent 0.811
  upd  119 | return    0.000 | deliv   0.00 | blocked 16.4% | idle  5.6% | ent 0.815
  upd  120 | return    0.000 | deliv   0.00 | blocked 16.0% | idle  5.4% | ent 0.770
  upd  121 | return    0.000 | deliv   0.00 | blocked 15.8% | idle  5.0% | ent 0.766
  upd  122 | return    0.000 | deliv   0.00 | blocked 17.1% | idle  5.7% | ent 0.859
  upd  123 | return    0.000 | deliv   0.00 | blocked 15.1% | idle  5.9% | ent 0.819
  upd  124 | return    0.000 | deliv   0.00 | blocked 15.3% | idle  5.2% | ent 0.764
  upd  125 | return    0.000 | deliv   0.00 | blocked 15.5% | idle  5.6% | ent 0.774
  upd  126 | return    0.100 | deliv   0.10 | blocked 14.8% | idle  5.3% | ent 0.793
  upd  127 | return    0.100 | deliv   0.10 | blocked 15.0% | idle  5.7% | ent 0.822
  upd  128 | return    0.000 | deliv   0.00 | blocked 14.0% | idle  6.2% | ent 0.850
  upd  129 | return    0.000 | deliv   0.00 | blocked 13.5% | idle  6.1% | ent 0.791
